2024-04-16 at 14:46:13 | INFO | (82.4%) (step=0000510) Train Loss: 0.00754602, Train Steps/Sec: 2.35
2024-04-16 at 14:46:17 | INFO | (84.0%) (step=0000520) Train Loss: 0.00481142, Train Steps/Sec: 2.33
2024-04-16 at 14:46:21 | INFO | (85.6%) (step=0000530) Train Loss: 0.00493292, Train Steps/Sec: 2.32
2024-04-16 at 14:46:26 | INFO | (87.2%) (step=0000540) Train Loss: 0.00635795, Train Steps/Sec: 2.32
2024-04-16 at 14:46:30 | INFO | (88.9%) (step=0000550) Train Loss: 0.00477698, Train Steps/Sec: 2.35
2024-04-16 at 14:46:34 | INFO | (90.5%) (step=0000560) Train Loss: 0.00446984, Train Steps/Sec: 2.36
2024-04-16 at 14:46:38 | INFO | (92.1%) (step=0000570) Train Loss: 0.00459868, Train Steps/Sec: 2.33
2024-04-16 at 14:46:43 | INFO | (93.7%) (step=0000580) Train Loss: 0.00420016, Train Steps/Sec: 2.33
2024-04-16 at 14:46:47 | INFO | (95.3%) (step=0000590) Train Loss: 0.00444913, Train Steps/Sec: 2.34
2024-04-16 at 14:46:51 | INFO | (96.9%) (step=0000600) Train Loss: 0.00399126, Train Steps/Sec: 2.33
2024-04-16 at 14:46:56 | INFO | (98.5%) (step=0000610) Train Loss: 0.00375385, Train Steps/Sec: 2.33
2024-04-16 at 14:47:00 | INFO | Beginning epoch 1...
2024-04-16 at 14:47:02 | INFO | (0.2%) (step=0000620) Train Loss: 0.00404022, Train Steps/Sec: 1.62
2024-04-16 at 14:47:06 | INFO | (1.8%) (step=0000630) Train Loss: 0.00432067, Train Steps/Sec: 2.27
2024-04-16 at 14:47:10 | INFO | (3.4%) (step=0000640) Train Loss: 0.00387053, Train Steps/Sec: 2.36
2024-04-16 at 14:47:15 | INFO | (5.0%) (step=0000650) Train Loss: 0.00422692, Train Steps/Sec: 2.33
2024-04-16 at 14:47:19 | INFO | (6.6%) (step=0000660) Train Loss: 0.00448727, Train Steps/Sec: 2.33
2024-04-16 at 14:47:23 | INFO | (8.2%) (step=0000670) Train Loss: 0.00386713, Train Steps/Sec: 2.34
2024-04-16 at 14:47:28 | INFO | (9.9%) (step=0000680) Train Loss: 0.00404227, Train Steps/Sec: 2.34
2024-04-16 at 14:47:32 | INFO | (11.5%) (step=0000690) Train Loss: 0.00362651, Train Steps/Sec: 2.35
2024-04-16 at 14:47:36 | INFO | (13.1%) (step=0000700) Train Loss: 0.00381972, Train Steps/Sec: 2.33
2024-04-16 at 14:47:40 | INFO | (14.7%) (step=0000710) Train Loss: 0.00361198, Train Steps/Sec: 2.36
2024-04-16 at 14:47:45 | INFO | (16.3%) (step=0000720) Train Loss: 0.00591813, Train Steps/Sec: 2.35
2024-04-16 at 14:47:49 | INFO | (17.9%) (step=0000730) Train Loss: 0.00334375, Train Steps/Sec: 2.34
2024-04-16 at 14:47:53 | INFO | (19.5%) (step=0000740) Train Loss: 0.00364867, Train Steps/Sec: 2.32
2024-04-16 at 14:47:57 | INFO | (21.2%) (step=0000750) Train Loss: 0.00305705, Train Steps/Sec: 2.36
2024-04-16 at 14:48:02 | INFO | (22.8%) (step=0000760) Train Loss: 0.00336121, Train Steps/Sec: 2.34
2024-04-16 at 14:48:06 | INFO | (24.4%) (step=0000770) Train Loss: 0.00314063, Train Steps/Sec: 2.38
2024-04-16 at 14:48:10 | INFO | (26.0%) (step=0000780) Train Loss: 0.00327208, Train Steps/Sec: 2.33
2024-04-16 at 14:48:14 | INFO | (27.6%) (step=0000790) Train Loss: 0.00302806, Train Steps/Sec: 2.36
2024-04-16 at 14:48:19 | INFO | (29.2%) (step=0000800) Train Loss: 0.00295491, Train Steps/Sec: 2.37
2024-04-16 at 14:48:23 | INFO | (30.9%) (step=0000810) Train Loss: 0.00276534, Train Steps/Sec: 2.35
2024-04-16 at 14:48:27 | INFO | (32.5%) (step=0000820) Train Loss: 0.00420995, Train Steps/Sec: 2.35
2024-04-16 at 14:48:31 | INFO | (34.1%) (step=0000830) Train Loss: 0.00289804, Train Steps/Sec: 2.33
2024-04-16 at 14:48:36 | INFO | (35.7%) (step=0000840) Train Loss: 0.00468242, Train Steps/Sec: 2.33
2024-04-16 at 14:48:40 | INFO | (37.3%) (step=0000850) Train Loss: 0.00302094, Train Steps/Sec: 2.38
2024-04-16 at 14:48:44 | INFO | (38.9%) (step=0000860) Train Loss: 0.00264806, Train Steps/Sec: 2.37
2024-04-16 at 14:48:48 | INFO | (40.5%) (step=0000870) Train Loss: 0.00303747, Train Steps/Sec: 2.32
2024-04-16 at 14:48:53 | INFO | (42.2%) (step=0000880) Train Loss: 0.00270501, Train Steps/Sec: 2.33
2024-04-16 at 14:48:57 | INFO | (43.8%) (step=0000890) Train Loss: 0.00253494, Train Steps/Sec: 2.36
