2024-04-17 at 13:46:09 | INFO | Experiment directory created at results_ct/001-vision_encoder
2024-04-17 at 13:46:26 | INFO | DiT Parameters: 15,938
2024-04-17 at 13:46:26 | INFO | Training for 100 epochs...
2024-04-17 at 13:46:26 | INFO | Beginning epoch 0...
2024-04-17 at 13:46:37 | INFO | (1.6%) (step=0000010) Train Loss: 0.19391954, Train Steps/Sec: 0.89
2024-04-17 at 13:46:42 | INFO | (3.2%) (step=0000020) Train Loss: 0.17002109, Train Steps/Sec: 2.35
2024-04-17 at 13:46:46 | INFO | (4.8%) (step=0000030) Train Loss: 0.17542808, Train Steps/Sec: 2.34
2024-04-17 at 13:46:50 | INFO | (6.5%) (step=0000040) Train Loss: 0.16102016, Train Steps/Sec: 2.33
2024-04-17 at 13:46:55 | INFO | (8.1%) (step=0000050) Train Loss: 0.13647331, Train Steps/Sec: 2.34
2024-04-17 at 13:46:59 | INFO | (9.7%) (step=0000060) Train Loss: 0.14385954, Train Steps/Sec: 2.35
2024-04-17 at 13:47:03 | INFO | (11.3%) (step=0000070) Train Loss: 0.11943558, Train Steps/Sec: 2.35
2024-04-17 at 13:47:07 | INFO | (12.9%) (step=0000080) Train Loss: 0.11552995, Train Steps/Sec: 2.30
2024-04-17 at 13:47:12 | INFO | (14.5%) (step=0000090) Train Loss: 0.09916721, Train Steps/Sec: 2.35
2024-04-17 at 13:47:16 | INFO | (16.2%) (step=0000100) Train Loss: 0.10219110, Train Steps/Sec: 2.35
